Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of cellular catabolic process (GO:0031329)	1/65	1.106754e-01	1.828922e-01	0	0	8.883929e+00	1.955489e+01	LRRK2
GO_Biological_Process_2021	positive regulation of cell death (GO:0010942)	1/66	1.122814e-01	1.848325e-01	0	0	8.746813e+00	1.912707e+01	LRRK2
GO_Biological_Process_2021	peptidyl-threonine modification (GO:0018210)	1/67	1.138846e-01	1.867533e-01	0	0	8.613853e+00	1.871420e+01	LRRK2
GO_Biological_Process_2021	positive regulation of MAP kinase activity (GO:0043406)	1/69	1.170825e-01	1.912646e-01	0	0	8.359664e+00	1.793045e+01	LRRK2
GO_Biological_Process_2021	cellular protein localization (GO:0034613)	2/329	1.180890e-01	1.921752e-01	0	0	3.532470e+00	7.546476e+00	LRRK2;EPB41L3
GO_Biological_Process_2021	carbohydrate homeostasis (GO:0033500)	1/70	1.186773e-01	1.924010e-01	0	0	8.238095e+00	1.755824e+01	PDK4
GO_Biological_Process_2021	regulation of TOR signaling (GO:0032006)	1/71	1.202692e-01	1.935159e-01	0	0	8.120000e+00	1.719834e+01	DEPTOR
GO_Biological_Process_2021	regulation of G1/S transition of mitotic cell cycle (GO:2000045)	1/71	1.202692e-01	1.935159e-01	0	0	8.120000e+00	1.719834e+01	APPL1
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	2/335	1.216427e-01	1.938862e-01	0	0	3.467762e+00	7.305420e+00	LRRFIP1;APPL1
GO_Biological_Process_2021	extrinsic apoptotic signaling pathway (GO:0097191)	1/72	1.218584e-01	1.938862e-01	0	0	8.005231e+00	1.685018e+01	APPL1
GO_Biological_Process_2021	negative regulation of supramolecular fiber organization (GO:1902904)	1/72	1.218584e-01	1.938862e-01	0	0	8.005231e+00	1.685018e+01	CDH5
GO_Biological_Process_2021	endoplasmic reticulum organization (GO:0007029)	1/73	1.234447e-01	1.956828e-01	0	0	7.893651e+00	1.651322e+01	LRRK2
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	3/684	1.241729e-01	1.961108e-01	0	0	2.574156e+00	5.369895e+00	NR4A2;FOSB;LRRFIP1
GO_Biological_Process_2021	negative regulation of protein binding (GO:0032091)	1/74	1.250283e-01	1.967357e-01	0	0	7.785127e+00	1.618695e+01	LRRK2
GO_Biological_Process_2021	integrin-mediated signaling pathway (GO:0007229)	1/75	1.266091e-01	1.968275e-01	0	0	7.679537e+00	1.587092e+01	LAMA3
GO_Biological_Process_2021	post-translational protein modification (GO:0043687)	2/345	1.276250e-01	1.968275e-01	0	0	3.364946e+00	6.927276e+00	GOLM1;SPP1
GO_Biological_Process_2021	actomyosin structure organization (GO:0031032)	1/76	1.281871e-01	1.968275e-01	0	0	7.576762e+00	1.556467e+01	EPB41L3
GO_Biological_Process_2021	establishment of protein localization to organelle (GO:0072594)	1/76	1.281871e-01	1.968275e-01	0	0	7.576762e+00	1.556467e+01	APPL1
